;;Elektrische_Last [kW];Warmwasser_Last [kW]; Außentemperatur [ºC];PV_Erzeugung [kW];Wärme_Last 23°C [W];Kühl_Last 23°C [W];Sonneneinstrahlung [W/m²]
15.08.2023;21:00:00;0,456;1,393333333;23.511;0;0;424,91;0
15.08.2023;22:00:00;0,875;0;22.684;0;0;491,34;0
15.08.2023;23:00:00;0,301;0;22.107;0;0;387,53;0
16.08.2023;00:00:00;0,256;0;21.771;0;0;296,14;0
16.08.2023;01:00:00;0,256;0;21.540;0;0;223,3;0
16.08.2023;02:00:00;0,256;0;21.298;0;0;169,29;0
16.08.2023;03:00:00;0,256;0;20.963;0;0;130,77;0
16.08.2023;04:00:00;0,256;0;20.568;0;0;101,9;0
16.08.2023;05:00:00;0,256;0;20.364;0;0;71,31;11.298
16.08.2023;06:00:00;0,28;0;21.614;0.134;0;38,05;147.648
16.08.2023;07:00:00;0,376;0;23.937;0.292;0;30,36;350.191
16.08.2023;08:00:00;3,876;0;26.845;0.421;0;271,2;550.048
16.08.2023;09:00:00;1,891;1,393333333;28.987;0.520;0;684,8;722.329
16.08.2023;10:00:00;0,301;0;30.701;0.587;0;939,35;851.350
16.08.2023;11:00:00;0,301;0;32.027;0.624;0;1293,91;929.565
16.08.2023;12:00:00;5,536;0;32.951;0.629;0;1762,27;946.500
16.08.2023;13:00:00;0,73;0;33.549;0.608;0;1773,19;908.835
16.08.2023;14:00:00;0,256;0;33.777;0.556;0;2038,34;812.398
16.08.2023;15:00:00;0,931;0;33.611;0.466;0;1859,32;652.703
16.08.2023;16:00:00;0,386;0;33.039;0.352;0;1958,62;467.794
16.08.2023;17:00:00;0,276;0;31.921;0.211;0;1606,51;264.454
16.08.2023;18:00:00;7,536;0;29.992;0.057;0;1386,01;77.680
16.08.2023;19:00:00;0,336;0;27.366;0;0;1111,23;0.510
16.08.2023;20:00:00;0,366;1,393333333;25.723;0;0;779,75;0
16.08.2023;21:00:00;0,836;0;24.326;0;0;492,87;0
16.08.2023;22:00:00;0,4;0;23.259;0;0;561,79;0
16.08.2023;23:00:00;0,376;0;22.473;0;0;459,7;0
17.08.2023;00:00:00;0,256;0;21.882;0;0;367,93;0
17.08.2023;01:00:00;0,256;0;21.459;0;0;289,64;0
17.08.2023;02:00:00;0,256;0;21.119;0;0;225,41;0
17.08.2023;03:00:00;0,256;0;20.793;0;0;167;0
17.08.2023;04:00:00;0,256;0;20.490;0;0;114,14;0
17.08.2023;05:00:00;0,261;0;20.314;0;0;66,82;10.172
17.08.2023;06:00:00;0,31;0;21.589;0.129;0;24,85;143.580
17.08.2023;07:00:00;1,921;0;23.440;0.290;0;15,57;347.888
17.08.2023;08:00:00;0,301;1,393333333;25.852;0.424;0;278,27;551.784
17.08.2023;09:00:00;5,556;1,393333333;27.876;0.526;0;485,4;728.124
17.08.2023;10:00:00;0,451;0;29.279;0.596;0;1080,73;861.660
17.08.2023;11:00:00;2,416;0;30.301;0.634;0;1235,42;939.684
17.08.2023;12:00:00;5,776;0;30.984;0.634;0;1483,79;943.958
17.08.2023;13:00:00;0,24;0;31.351;0.612;0;1644,26;904.374
17.08.2023;14:00:00;0,291;0;31.343;0.554;0;1873,67;797.178
17.08.2023;15:00:00;1,516;0;30.994;0.465;0;1862,59;641.882
17.08.2023;16:00:00;0,881;0;30.222;0.334;0;1763,16;435.297
17.08.2023;17:00:00;0,471;0;29.011;0.168;0;1574,07;213.155
17.08.2023;18:00:00;0,816;0;27.434;0.038;0;1136,09;60.895
17.08.2023;19:00:00;3,941;0;25.469;0;0;818,71;0.301
17.08.2023;20:00:00;3,426;0;24.481;0;0;513,58;0
17.08.2023;21:00:00;0,486;0;23.770;0;0;276,26;0
17.08.2023;22:00:00;0,39;0;22.996;0;0;365,45;0
17.08.2023;23:00:00;0,316;0;22.135;0;0;298,63;0
18.08.2023;00:00:00;0,256;0;21.369;0;0;234,39;0
18.08.2023;01:00:00;0,256;0;20.718;0;0;164,51;0
18.08.2023;02:00:00;0,256;0;20.129;0;0;95,11;0
18.08.2023;03:00:00;0,256;0;19.635;0;0;39,1;0
18.08.2023;04:00:00;0,256;0;19.191;0;8,51;0;0
18.08.2023;05:00:00;0,256;0;18.827;0;52,29;0;10.328
18.08.2023;06:00:00;0,26;0;19.814;0.128;92,34;0;142.291
18.08.2023;07:00:00;2,726;0;21.642;0.254;110,16;0;305.780
18.08.2023;08:00:00;4,046;0;23.557;0.334;0;125,44;420.195
18.08.2023;09:00:00;0,351;0;24.694;0.362;0;327,02;461.272
18.08.2023;10:00:00;0,736;1,393333333;25.833;0.413;0;652,87;536.695
18.08.2023;11:00:00;5,841;0;27.661;0.532;0;809,67;735.383
18.08.2023;12:00:00;0,286;0;29.522;0.621;0;1079,74;911.186
18.08.2023;13:00:00;0,725;0;30.930;0.629;0;1069,74;935.136
18.08.2023;14:00:00;7,941;0;31.732;0.579;0;1382,44;845.422
18.08.2023;15:00:00;0,256;0;31.865;0.489;0;1799,58;685.984
18.08.2023;16:00:00;0,976;0;31.579;0.372;0;1619,36;493.262
18.08.2023;17:00:00;0,286;0;30.832;0.226;0;1460,56;280.705
18.08.2023;18:00:00;1,506;0;28.351;0.055;0;1228,94;74.794
18.08.2023;19:00:00;10,336;1,393333333;25.700;0;0;943,01;0.264
18.08.2023;20:00:00;0,496;0;24.768;0;0;530,61;0
18.08.2023;21:00:00;0,976;0;24.162;0;0;233,91;0
18.08.2023;22:00:00;0,445;0;23.277;0;0;362,1;0
18.08.2023;23:00:00;0,301;0;22.369;0;0;338,87;0
19.08.2023;00:00:00;0,256;0;21.732;0;0;253,61;0
19.08.2023;01:00:00;0,256;0;21.127;0;0;144,63;0
19.08.2023;02:00:00;0,256;0;20.202;0;0;44,74;0
19.08.2023;03:00:00;0,256;0;19.364;0;29,35;0;0
19.08.2023;04:00:00;0,256;0;18.813;0;68,54;0;0
19.08.2023;05:00:00;0,256;0;18.831;0;126,85;0;8.314
19.08.2023;06:00:00;0,28;0;20.522;0.112;156,29;0;129.570
19.08.2023;07:00:00;1,276;0;22.579;0.265;119,22;0;319.337
19.08.2023;08:00:00;4,326;1,393333333;24.635;0.399;0;160,68;515.982
19.08.2023;09:00:00;0,451;0;26.203;0.510;0;356,08;697.895
19.08.2023;10:00:00;0,781;0;27.291;0.594;0;737,66;851.039
19.08.2023;11:00:00;0,301;0;28.046;0.636;0;1066,55;932.346
19.08.2023;12:00:00;6,016;0;28.505;0.644;0;1306,02;951.359
19.08.2023;13:00:00;0,25;0;28.718;0.621;0;1448,63;909.201
19.08.2023;14:00:00;0,736;0;28.661;0.566;0;1499,28;808.825
19.08.2023;15:00:00;0,451;0;28.402;0.478;0;1468,87;656.745
19.08.2023;16:00:00;0,386;0;27.881;0.360;0;1354,83;469.000
19.08.2023;17:00:00;0,276;0;26.962;0.214;0;1169,81;262.807
19.08.2023;18:00:00;7,056;0;25.319;0.055;0;931,83;73.434
19.08.2023;19:00:00;0,846;0;23.388;0;0;646,01;0.190
19.08.2023;20:00:00;0,466;0;22.481;0;0;316,85;0
19.08.2023;21:00:00;0,396;1,393333333;21.988;0;0;70,45;0
19.08.2023;22:00:00;0,92;0;21.683;0;0;139,76;0
19.08.2023;23:00:00;0,286;0;21.499;0;0;86,7;0
20.08.2023;00:00:00;0,256;0;21.344;0;0;58,6;0
20.08.2023;01:00:00;0,256;0;21.165;0;0;40,15;0
20.08.2023;02:00:00;0,256;0;20.983;0;0;33,08;0
20.08.2023;03:00:00;0,256;0;20.744;0;0;23,04;0
20.08.2023;04:00:00;0,256;0;20.484;0;0;6,6;0
20.08.2023;05:00:00;0,261;0;20.299;0;20,36;0;7.071
20.08.2023;06:00:00;0,28;0;21.164;0.106;42,35;0;124.944
20.08.2023;07:00:00;0,321;0;22.711;0.272;45,43;0;328.661
20.08.2023;08:00:00;0,851;0;24.580;0.413;0;180,45;536.179
20.08.2023;09:00:00;6,146;0;26.078;0.519;0;537,5;714.030
20.08.2023;10:00:00;0,451;0;27.017;0.592;0;756,21;848.131
20.08.2023;11:00:00;2,416;0;27.701;0.634;0;1088,37;928.999
20.08.2023;12:00:00;4,816;0;28.143;0.645;0;1316,13;954.198
20.08.2023;13:00:00;0,72;0;28.384;0.623;0;1464,09;913.646
20.08.2023;14:00:00;0,291;0;28.490;0.569;0;1531,89;814.837
20.08.2023;15:00:00;1,996;0;28.450;0.482;0;1509,4;665.431
20.08.2023;16:00:00;0,401;0;28.203;0.366;0;1409,3;478.435
20.08.2023;17:00:00;0,471;0;27.616;0.221;0;1244,79;271.399
20.08.2023;18:00:00;0,816;0;26.268;0.060;0;1028,6;76.930
20.08.2023;19:00:00;3,941;0;24.218;0;0;769,58;0.126
20.08.2023;20:00:00;3,426;1,393333333;23.010;0;0;454,22;0
20.08.2023;21:00:00;0,886;1,393333333;22.311;0;0;182,1;0
20.08.2023;22:00:00;0,32;0;21.926;0;0;257,43;0
20.08.2023;23:00:00;0,316;0;21.582;0;0;183,44;0
21.08.2023;00:00:00;0,256;0;21.168;0;0;128,09;0
21.08.2023;01:00:00;0,256;0;20.737;0;0;77,14;0
21.08.2023;02:00:00;0,256;0;20.400;0;0;30,49;0
21.08.2023;03:00:00;0,256;0;20.120;0;1,62;0;0
21.08.2023;04:00:00;0,256;0;19.899;0;19,98;0;0
21.08.2023;05:00:00;0,256;0;19.822;0;30,21;0;7.767
21.08.2023;06:00:00;0,26;0;21.472;0.124;36,23;0;138.759
21.08.2023;07:00:00;4,306;0;23.570;0.284;15,84;0;344.468
21.08.2023;08:00:00;3,016;0;26.509;0.416;0;277,16;548.863
21.08.2023;09:00:00;1,201;1,393333333;28.312;0.519;0;518,05;726.598
21.08.2023;10:00:00;0,256;0;29.231;0.592;0;976,13;860.932
21.08.2023;11:00:00;5,361;0;29.794;0.632;0;1299,95;941.040
21.08.2023;12:00:00;1,246;0;30.125;0.637;0;1500,85;952.026
21.08.2023;13:00:00;0,245;0;30.261;0.614;0;1631,59;909.020
21.08.2023;14:00:00;7,941;0;30.174;0.558;0;1849,25;807.145
21.08.2023;15:00:00;0,256;0;29.989;0.473;0;1632,06;657.866
21.08.2023;16:00:00;1,456;0;29.580;0.356;0;1516,1;469.010
21.08.2023;17:00:00;0,286;0;28.833;0.211;0;1342,32;261.904
21.08.2023;18:00:00;1,506;0;27.192;0.053;0;1108,01;71.055
21.08.2023;19:00:00;9,936;0;24.951;0;0;828,75;0.073
21.08.2023;20:00:00;0,336;1,393333333;23.940;0;0;489,95;0
21.08.2023;21:00:00;0,376;0;23.270;0;0;217,18;0
21.08.2023;22:00:00;0,485;0;22.959;0;0;304,27;0
21.08.2023;23:00:00;0,421;0;22.777;0;0;240,61;0
22.08.2023;00:00:00;0,256;0;22.596;0;0;210,49;0
22.08.2023;01:00:00;0,256;0;22.398;0;0;198,45;0
22.08.2023;02:00:00;0,256;0;22.208;0;0;191,28;0
22.08.2023;03:00:00;0,256;0;21.926;0;0;182,39;0
22.08.2023;04:00:00;0,256;0;21.572;0;0;176,65;0
22.08.2023;05:00:00;0,256;0;21.302;0;0;158,11;6.706
22.08.2023;06:00:00;0,31;0;22.688;0.115;0;130,77;131.472
22.08.2023;07:00:00;0,396;0;24.546;0.273;0;119,56;334.912
22.08.2023;08:00:00;4,296;1,393333333;26.630;0.408;0;359,43;538.620
22.08.2023;09:00:00;0,451;1,393333333;28.240;0.512;0;557,97;716.376
22.08.2023;10:00:00;0,781;0;29.215;0.585;0;944,04;851.395
22.08.2023;11:00:00;0,781;0;29.790;0.627;0;1276,93;932.236
22.08.2023;12:00:00;5,536;0;30.209;0.636;0;1679,41;952.856
22.08.2023;13:00:00;0,73;0;30.478;0.613;0;1622,93;911.667
22.08.2023;14:00:00;0,256;0;30.478;0.559;0;1672,46;811.516
22.08.2023;15:00:00;0,451;0;30.344;0.473;0;1828,02;660.496
22.08.2023;16:00:00;0,386;0;29.938;0.356;0;1540,49;471.636
22.08.2023;17:00:00;0,276;0;29.168;0.212;0;1368,68;263.666
22.08.2023;18:00:00;7,536;0;27.456;0.053;0;1133,38;70.919
22.08.2023;19:00:00;0,736;0;25.166;0;0;850,1;0.039
22.08.2023;20:00:00;0,406;0;24.188;0;0;511,09;0
22.08.2023;21:00:00;1,036;0;23.629;0;0;236,3;0
22.08.2023;22:00:00;0,34;0;23.331;0;0;329,89;0
22.08.2023;23:00:00;0,256;0;23.110;0;0;275,02;0
23.08.2023;00:00:00;0,256;0;22.830;0;0;244,91;0
23.08.2023;01:00:00;0,256;0;22.528;0;0;227,8;0
23.08.2023;02:00:00;0,256;0;22.331;0;0;210,21;0
23.08.2023;03:00:00;0,256;0;22.111;0;0;192,04;0
23.08.2023;04:00:00;0,256;0;21.849;0;0;181,15;0
23.08.2023;05:00:00;0,261;0;21.668;0;0;168,34;6.312
23.08.2023;06:00:00;0,28;0;23.053;0.116;0;149,98;132.272
23.08.2023;07:00:00;1,161;0;25.077;0.274;0;148,48;337.869
23.08.2023;08:00:00;1,391;0;27.976;0.407;0;401,36;543.292
23.08.2023;09:00:00;4,706;0;29.974;0.510;0;813,81;722.570
23.08.2023;10:00:00;0,931;1,393333333;30.684;0.584;0;1103,83;858.409
23.08.2023;11:00:00;2,416;0;31.071;0.625;0;1439,38;939.304
23.08.2023;12:00:00;5,296;0;31.274;0.631;0;1623,22;952.820
23.08.2023;13:00:00;0,24;0;31.191;0.609;0;1742,4;910.430
23.08.2023;14:00:00;0,771;0;31.006;0.555;0;1776,27;809.376
23.08.2023;15:00:00;1,516;0;30.845;0.470;0;1902,32;659.833
23.08.2023;16:00:00;0,401;0;30.486;0.353;0;1591,25;470.717
23.08.2023;17:00:00;0,471;0;29.719;0.209;0;1413,52;262.180
23.08.2023;18:00:00;0,336;0;27.975;0.052;0;1182,16;69.072
23.08.2023;19:00:00;4,421;1,393333333;25.631;0;0;902,68;0.017
23.08.2023;20:00:00;3,586;0;24.917;0;0;551,98;0
23.08.2023;21:00:00;0,446;0;24.670;0;0;302,55;0
23.08.2023;22:00:00;0,93;0;24.669;0;0;442,4;0
23.08.2023;23:00:00;0,316;0;24.753;0;0;424,24;0
24.08.2023;00:00:00;0,256;0;24.894;0;0;415,83;0
24.08.2023;01:00:00;0,256;0;25.019;0;0;411,81;0
24.08.2023;02:00:00;0,256;0;25.003;0;0;400,15;0
24.08.2023;03:00:00;0,256;0;24.882;0;0;397,28;0
24.08.2023;04:00:00;0,256;0;24.729;0;0;390,97;0
24.08.2023;05:00:00;0,256;0;24.431;0;0;368,6;5.566
24.08.2023;06:00:00;0,26;0;24.794;0.109;0;330,08;127.294
24.08.2023;07:00:00;2,886;0;26.038;0.267;0;313,12;331.780
24.08.2023;08:00:00;3,506;1,393333333;28.186;0.402;0;530,66;537.276
24.08.2023;09:00:00;1,761;0;29.796;0.506;0;719,24;716.894
24.08.2023;10:00:00;0,256;0;31.458;0.577;0;1126,79;852.941
24.08.2023;11:00:00;5,361;0;32.687;0.616;0;1428,22;934.643
24.08.2023;12:00:00;0,286;0;33.499;0.624;0;1662,99;955.423
24.08.2023;13:00:00;0,725;0;33.959;0.601;0;1823,07;913.885
24.08.2023;14:00:00;7,941;0;34.070;0.548;0;1899,85;813.158
24.08.2023;15:00:00;0,736;0;33.867;0.463;0;1889,76;661.778
24.08.2023;16:00:00;0,976;0;33.276;0.348;0;1974,69;471.235
24.08.2023;17:00:00;0,286;0;32.153;0.206;0;1626,28;261.647
24.08.2023;18:00:00;1,506;0;30.108;0.050;0;1390,38;67.884
24.08.2023;19:00:00;9,966;0;27.525;0;0;1103,23;0.006
24.08.2023;20:00:00;0,396;0;26.045;0;0;738,04;0
24.08.2023;21:00:00;0,776;1,393333333;24.855;0;0;477;0
24.08.2023;22:00:00;0,445;0;23.895;0;0;561,13;0
24.08.2023;23:00:00;0,331;0;23.053;0;0;476,43;0
25.08.2023;00:00:00;0,256;0;22.365;0;0;403,97;0
25.08.2023;01:00:00;0,256;0;21.884;0;0;331,51;0
25.08.2023;02:00:00;0,256;0;21.585;0;0;268,42;0
25.08.2023;03:00:00;0,256;0;21.309;0;0;218,05;0
25.08.2023;04:00:00;0,256;0;21.061;0;0;178,18;0
25.08.2023;05:00:00;0,256;0;20.905;0;0;142,24;5.376
25.08.2023;06:00:00;0,28;0;22.434;0.115;0;109,36;131.022
25.08.2023;07:00:00;1,796;0;24.565;0.275;0;96,52;339.351
25.08.2023;08:00:00;3,326;0;27.564;0.409;0;385,13;547.278
25.08.2023;09:00:00;1,361;0;30.249;0.510;0;625,21;726.747
25.08.2023;10:00:00;0,301;0;31.825;0.581;0;1085,97;863.806
25.08.2023;11:00:00;0,301;0;32.872;0.620;0;1448,5;944.631
25.08.2023;12:00:00;6,496;0;33.518;0.627;0;1712,07;962.972
25.08.2023;13:00:00;0,25;0;33.734;0.603;0;1881,66;917.620
25.08.2023;14:00:00;0,256;0;33.568;0.548;0;1954,45;812.277
25.08.2023;15:00:00;0,451;0;33.177;0.461;0;1927,36;657.267
25.08.2023;16:00:00;0,866;0;32.421;0.345;0;1808,14;465.698
25.08.2023;17:00:00;0,276;0;31.178;0.202;0;1620,24;256.479
25.08.2023;18:00:00;7,536;0;29.191;0.047;0;1374,95;64.490
25.08.2023;19:00:00;0,336;0;26.772;0;0;1078,28;0.001
25.08.2023;20:00:00;0,366;1,393333333;25.384;0;0;706,99;0
25.08.2023;21:00:00;0,556;1,393333333;24.171;0;0;436,66;0
25.08.2023;22:00:00;0,35;0;23.210;0;0;514,29;0
25.08.2023;23:00:00;0,256;0;22.430;0;0;419,08;0
26.08.2023;00:00:00;0,256;0;21.809;0;0;333,62;0
26.08.2023;01:00:00;0,256;0;21.333;0;0;261,92;0
26.08.2023;02:00:00;0,256;0;21.020;0;0;203,52;0
26.08.2023;03:00:00;0,256;0;20.750;0;0;158,49;0
26.08.2023;04:00:00;0,256;0;20.397;0;0;121,78;0
26.08.2023;05:00:00;0,261;0;20.066;0;0;86,03;4.731
26.08.2023;06:00:00;0,28;0;21.171;0.111;0;42,63;127.224
26.08.2023;07:00:00;0,341;0;23.013;0.269;0;10,52;331.360
26.08.2023;08:00:00;1,361;0;26.369;0.403;0;249,09;537.426
26.08.2023;09:00:00;4,676;1,393333333;28.462;0.504;0;629,19;711.117
26.08.2023;10:00:00;0,931;0;29.448;0.579;0;877,55;848.013
26.08.2023;11:00:00;2,896;0;30.192;0.618;0;1379,14;926.009
26.08.2023;12:00:00;4,816;0;30.710;0.625;0;1401,75;943.786
26.08.2023;13:00:00;0,72;0;30.988;0.602;0;1540,34;902.147
26.08.2023;14:00:00;0,291;0;30.991;0.547;0;1605,46;800.494
26.08.2023;15:00:00;1,516;0;30.715;0.460;0;1587,06;647.270
26.08.2023;16:00:00;0,401;0;30.032;0.342;0;1657,71;457.296
26.08.2023;17:00:00;0,471;0;28.906;0.198;0;1476,57;249.206
26.08.2023;18:00:00;0,816;0;26.914;0.042;0;1049,22;60.113
26.08.2023;19:00:00;4,341;0;24.525;0;0;748,16;0
26.08.2023;20:00:00;3,466;1,393333333;23.306;0;0;396,25;0
26.08.2023;21:00:00;0,846;0;22.522;0;0;146,06;0
26.08.2023;22:00:00;0,41;0;22.022;0;0;214,6;0
26.08.2023;23:00:00;0,436;0;21.761;0;0;136,89;0
27.08.2023;00:00:00;0,256;0;21.624;0;0;86,42;0
27.08.2023;01:00:00;0,256;0;21.676;0;0;71,5;0
27.08.2023;02:00:00;0,256;0;21.757;0;0;68,16;0
27.08.2023;03:00:00;0,256;0;21.819;0;0;73,03;0
27.08.2023;04:00:00;0,256;0;22.023;0;0;86,13;0
27.08.2023;05:00:00;0,256;0;22.107;0;0;97,12;3.229
27.08.2023;06:00:00;0,29;0;22.773;0.079;0;103,72;101.646
27.08.2023;07:00:00;3,726;0;23.942;0.241;0;105,24;299.713
27.08.2023;08:00:00;3,956;1,393333333;25.209;0.391;0;290,3;516.915
27.08.2023;09:00:00;0,321;1,393333333;26.244;0.486;0;423,83;673.692
27.08.2023;10:00:00;0,736;0;26.959;0.567;0;949,18;816.524
27.08.2023;11:00:00;5,361;0;27.363;0.609;0;1053,27;893.788
27.08.2023;12:00:00;0,766;0;27.552;0.620;0;1268,24;916.819
27.08.2023;13:00:00;0,245;0;27.631;0.601;0;1572,62;881.298
27.08.2023;14:00:00;8,421;0;27.536;0.545;0;1427,75;780.238
27.08.2023;15:00:00;0,256;0;27.263;0.457;0;1382,56;630.312
27.08.2023;16:00:00;0,976;0;26.743;0.335;0;1259,6;439.596
27.08.2023;17:00:00;0,286;0;25.856;0.186;0;1072,95;233.616
27.08.2023;18:00:00;1,026;0;24.649;0.036;0;832,46;53.248
27.08.2023;19:00:00;10,416;0;23.326;0;0;546,34;0
27.08.2023;20:00:00;0,376;0;22.438;0;0;264,28;0
27.08.2023;21:00:00;0,456;0;22.019;0;0;98,84;0
27.08.2023;22:00:00;0,905;0;21.827;0;0;186,88;0
27.08.2023;23:00:00;0,301;0;21.754;0;0;134,69;0
28.08.2023;00:00:00;0,256;0;21.716;0;0;107,54;0
28.08.2023;01:00:00;0,256;0;21.662;0;0;93,68;0
28.08.2023;02:00:00;0,256;0;21.594;0;0;86,61;0
28.08.2023;03:00:00;0,256;0;21.473;0;0;79,44;0
28.08.2023;04:00:00;0,256;0;21.331;0;0;67,78;0
28.08.2023;05:00:00;0,256;0;21.206;0;0;53,44;2.706
28.08.2023;06:00:00;0,28;0;21.635;0.076;0;38,33;97.962
28.08.2023;07:00:00;0,316;0;22.883;0.243;0;32,36;301.664
28.08.2023;08:00:00;3,906;0;24.425;0.385;0;192,84;507.561
28.08.2023;09:00:00;1,921;0;25.645;0.494;0;532,33;686.818
28.08.2023;10:00:00;0,301;1,393333333;26.457;0.571;0;716,46;822.568
28.08.2023;11:00:00;0,301;0;26.932;0.613;0;1204,16;901.587
28.08.2023;12:00:00;5,536;0;27.069;0.619;0;1246,33;913.902
28.08.2023;13:00:00;0,73;0;26.996;0.597;0;1379,23;872.475
28.08.2023;14:00:00;0,256;0;26.799;0.545;0;1404,91;778.720
28.08.2023;15:00:00;0,931;0;26.419;0.459;0;1352,31;632.092
28.08.2023;16:00:00;0,386;0;25.729;0.339;0;1231;444.230
28.08.2023;17:00:00;0,276;0;24.717;0.192;0;1034,05;238.619
28.08.2023;18:00:00;7,536;0;23.367;0.038;0;773,61;53.963
28.08.2023;19:00:00;0,336;1,393333333;22.117;0;0;466,25;0
28.08.2023;20:00:00;0,486;0;21.559;0;0;149,58;0
28.08.2023;21:00:00;0,956;0;21.331;0;22,27;0;0
28.08.2023;22:00:00;0,4;0;21.232;0;0;91,58;0
28.08.2023;23:00:00;0,256;0;21.153;0;0;71,6;0
29.08.2023;00:00:00;0,256;0;21.075;0;0;64,33;0
29.08.2023;01:00:00;0,256;0;20.996;0;0;53,25;0
29.08.2023;02:00:00;0,256;0;20.857;0;0;39,86;0
29.08.2023;03:00:00;0,256;0;20.600;0;0;27,05;0
29.08.2023;04:00:00;0,256;0;20.345;0;0;11,47;0
29.08.2023;05:00:00;0,261;0;20.169;0;21,99;0;2.855
29.08.2023;06:00:00;0,28;0;21.191;0.091;55,83;0;110.317
29.08.2023;07:00:00;1,921;0;22.859;0.250;73,24;0;311.604
29.08.2023;08:00:00;0,331;1,393333333;24.352;0.390;0;173,62;516.706
29.08.2023;09:00:00;5,556;0;25.441;0.499;0;371,79;695.922
29.08.2023;10:00:00;0,451;0;26.242;0.575;0;746,81;830.988
29.08.2023;11:00:00;2,416;0;26.857;0.617;0;1049,02;911.164
29.08.2023;12:00:00;5,776;0;27.242;0.628;0;1449,67;933.704
29.08.2023;13:00:00;0,24;0;27.480;0.604;0;1409,65;891.643
29.08.2023;14:00:00;0,291;0;27.512;0.548;0;1465,28;790.162
29.08.2023;15:00:00;1,516;0;27.205;0.459;0;1432,33;637.622
29.08.2023;16:00:00;0,881;0;26.473;0.339;0;1496,43;447.463
29.08.2023;17:00:00;0,471;0;25.293;0.191;0;1119,1;239.261
29.08.2023;18:00:00;0,816;0;23.697;0.038;0;848,07;52.914
29.08.2023;19:00:00;3,971;0;22.194;0;0;522,69;0
29.08.2023;20:00:00;3,486;0;21.471;0;0;180,26;0
29.08.2023;21:00:00;0,366;1,393333333;21.046;0;19,41;0;0
29.08.2023;22:00:00;0,45;0;20.757;0;0;74,94;0
29.08.2023;23:00:00;0,346;0;20.547;0;0;25,81;0
30.08.2023;00:00:00;0,256;0;20.394;0;2,49;0;0
30.08.2023;01:00:00;0,256;0;20.250;0;23,61;0;0
30.08.2023;02:00:00;0,256;0;20.133;0;38,14;0;0
30.08.2023;03:00:00;0,256;0;19.941;0;49,42;0;0
30.08.2023;04:00:00;0,256;0;19.725;0;58,6;0;0
30.08.2023;05:00:00;0,256;0;19.537;0;69,69;0;2.495
30.08.2023;06:00:00;0,26;0;20.778;0.092;82,3;0;110.519
30.08.2023;07:00:00;2,726;0;22.585;0.254;87,16;0;316.770
30.08.2023;08:00:00;3,986;0;24.514;0.393;0;153,75;524.473
30.08.2023;09:00:00;0,351;0;26.042;0.502;0;356,14;705.733
30.08.2023;10:00:00;0,736;0;26.835;0.578;0;934,11;842.681
30.08.2023;11:00:00;5,841;0;27.269;0.621;0;1083,35;924.629
30.08.2023;12:00:00;0,286;0;27.472;0.630;0;1482,05;941.909
30.08.2023;13:00:00;0,725;0;27.521;0.607;0;1434,73;899.411
30.08.2023;14:00:00;7,941;0;27.333;0.551;0;1475,88;797.043
30.08.2023;15:00:00;0,256;0;27.043;0.462;0;1427,79;644.222
30.08.2023;16:00:00;0,976;0;26.460;0.341;0;1477,21;451.913
30.08.2023;17:00:00;0,286;0;25.448;0.192;0;1110,17;241.250
30.08.2023;18:00:00;1,506;0;23.943;0.037;0;857,01;52.376
30.08.2023;19:00:00;10,336;0;22.366;0;0;548,53;0
30.08.2023;20:00:00;0,376;1,393333333;21.535;0;0;213,15;0
30.08.2023;21:00:00;0,976;1,393333333;21.067;0;0;11,09;0
30.08.2023;22:00:00;0,355;0;20.776;0;0;100,37;0
30.08.2023;23:00:00;0,301;0;20.556;0;0;53,82;0
31.08.2023;00:00:00;0,256;0;20.386;0;0;30,11;0
31.08.2023;01:00:00;0,256;0;20.242;0;0;11,95;0
31.08.2023;02:00:00;0,256;0;20.133;0;4,3;0;0
31.08.2023;03:00:00;0,256;0;20.002;0;18,07;0;0
31.08.2023;04:00:00;0,256;0;19.898;0;30,88;0;0
31.08.2023;05:00:00;0,256;0;19.826;0;47,7;0;2.020
31.08.2023;06:00:00;0,28;0;20.893;0.081;63,57;0;101.882
31.08.2023;07:00:00;1,216;0;22.348;0.242;66,75;0;302.216
31.08.2023;08:00:00;4,356;0;23.906;0.380;0;143,53;503.677
31.08.2023;09:00:00;0,451;1,393333333;25.178;0.488;0;497,17;679.053
31.08.2023;10:00:00;0,781;0;26.055;0.563;0;679,59;812.025
31.08.2023;11:00:00;0,301;0;26.663;0.606;0;1165,73;892.457
31.08.2023;12:00:00;6,016;0;26.977;0.619;0;1391,13;918.422
31.08.2023;13:00:00;0,25;0;27.057;0.597;0;1348,86;878.568
31.08.2023;14:00:00;0,736;0;26.913;0.541;0;1574,5;777.372
31.08.2023;15:00:00;0,451;0;26.384;0.431;0;1520,66;592.152
31.08.2023;16:00:00;0,386;0;25.510;0.299;0;1206,19;390.988
31.08.2023;17:00:00;0,276;0;24.263;0.131;0;1172,06;170.882
31.08.2023;18:00:00;7,056;0;22.954;0.009;0;693,94;26.895
31.08.2023;19:00:00;0,816;0;22.213;0;0;364,3;0
31.08.2023;20:00:00;0,406;1,393333333;21.939;0;0;69,05;0
31.08.2023;21:00:00;0,396;0;21.693;0;40,34;0;0
31.08.2023;22:00:00;0,92;0;21.455;0;0;116,62;0
