Datum/Uhrzeit;Elektrische_Last [kW];Warmwasser_Last [kW]; Außentemperatur [ºC];PV_Erzeugung [kW];Wärme_Last_diesel 23°C [kW];Kühl_Last_diesel 23°C [kW];Wärme_Last_elektrisch 23°C [kW];Kühl_Last_elektrisch 23°C [kW]
09.08.2019 23:00;0,301;0;25,171;0;0;0,39;0;0,377
10.08.2019 00:00;0,256;0;24,215;0;0;0,3;0;0,29
10.08.2019 01:00;0,256;0;23,453;0;0;0,22;0;0,221
10.08.2019 02:00;0,256;0;22,888;0;0;0,17;0;0,17
10.08.2019 03:00;0,256;0;22,485;0;0;0,13;0;0,133
10.08.2019 04:00;0,256;0;22,183;0;0;0,1;0;0,106
10.08.2019 05:00;0,256;0;21,863;0;0;0,07;0;0,077
10.08.2019 06:00;0,28;0;21,515;0;0;0,04;0;0,045
10.08.2019 07:00;0,376;0;21,293;0;0;0,03;0;0,041
10.08.2019 08:00;3,876;0,2;22,291;0,135;0;0,27;0;0,302
10.08.2019 09:00;1,891;1,39;24,386;0,292;0;0,68;0;0,742
10.08.2019 10:00;0,301;0;26,72;0,423;0;0,94;0;1,022
10.08.2019 11:00;0,301;0;28,524;0,523;0;1,29;0;1,4
10.08.2019 12:00;5,536;0;30,132;0,59;0;1,76;0;1,884
10.08.2019 13:00;0,73;0;31,292;0,626;0;1,77;0;1,903
10.08.2019 14:00;0,256;0;32,045;0,63;0;2,04;0;2,167
10.08.2019 15:00;0,931;0;32,518;0,606;0;1,86;0;1,978
10.08.2019 16:00;0,386;0,3;32,763;0,552;0;1,96;0;2,058
10.08.2019 17:00;0,276;0;32,743;0,46;0;1,61;0;1,677
10.08.2019 18:00;7,536;0;32,475;0,345;0;1,39;0;1,424
10.08.2019 19:00;0,336;0;31,821;0,203;0;1,11;0;1,116
10.08.2019 20:00;0,366;1,39;30,371;0,05;0;0,78;0;0,758
10.08.2019 21:00;0,836;0,1;28,156;0;0;0,49;0;0,469
10.08.2019 22:00;0,4;0;26,994;0;0;0,56;0;0,543
10.08.2019 23:00;0,376;0;25,926;0;0;0,46;0;0,446
11.08.2019 00:00;0,256;0;24,966;0;0;0,37;0;0,359
11.08.2019 01:00;0,256;0;24,147;0;0;0,29;0;0,284
11.08.2019 02:00;0,256;0;23,475;0;0;0,23;0;0,223
11.08.2019 03:00;0,256;0;22,864;0;0;0,17;0;0,168
11.08.2019 04:00;0,256;0;22,311;0;0;0,11;0;0,117
11.08.2019 05:00;0,261;0;21,816;0;0;0,07;0;0,072
11.08.2019 06:00;0,31;0;21,377;0;0;0,02;0;0,032
11.08.2019 07:00;1,921;0,2;21,15;0;0;0,02;0;0,026
11.08.2019 08:00;0,301;1,39;22,394;0,132;0;0,28;0;0,308
11.08.2019 09:00;5,556;1,39;24,182;0,292;0;0,49;0;0,544
11.08.2019 10:00;0,451;0;26,278;0,426;0;1,08;0;1,166
11.08.2019 11:00;2,416;0;27,865;0,527;0;1,24;0;1,345
11.08.2019 12:00;5,776;0;29,02;0,596;0;1,48;0;1,612
11.08.2019 13:00;0,24;0,5;29,855;0,634;0;1,64;0;1,782
11.08.2019 14:00;0,291;0;30,381;0,631;0;1,87;0;2,009
11.08.2019 15:00;1,516;0;30,682;0,611;0;1,86;0;1,99
11.08.2019 16:00;0,881;0;30,737;0,556;0;1,76;0;1,872
11.08.2019 17:00;0,471;0;30,51;0,465;0;1,57;0;1,655
11.08.2019 18:00;0,816;0;29,966;0,341;0;1,14;0;1,184
11.08.2019 19:00;3,941;0;29,025;0,184;0;0,82;0;0,832
11.08.2019 20:00;3,426;0,3;27,673;0,042;0;0,51;0;0,503
11.08.2019 21:00;0,486;0;25,89;0;0;0,28;0;0,263
11.08.2019 22:00;0,39;0;24,94;0;0;0,37;0;0,356
11.08.2019 23:00;0,316;0;24,241;0;0;0,3;0;0,293
12.08.2019 00:00;0,256;0;23,569;0;0;0,23;0;0,232
12.08.2019 01:00;0,256;0;22,838;0;0;0,16;0;0,165
12.08.2019 02:00;0,256;0;22,112;0;0;0,1;0;0,099
12.08.2019 03:00;0,256;0;21,526;0;0;0,04;0;0,046
12.08.2019 04:00;0,256;0;21,028;0;0,01;0;0;0,001
12.08.2019 05:00;0,256;0;20,57;0;0,05;0;0,041;0
12.08.2019 06:00;0,26;0;20,151;0;0,09;0;0,079;0
12.08.2019 07:00;2,726;0;19,829;0;0,11;0;0,093;0
12.08.2019 08:00;4,046;0,2;20,726;0,141;0;0,13;0;0,164
12.08.2019 09:00;0,351;0;22,59;0,288;0;0,33;0;0,392
12.08.2019 10:00;0,736;1,39;24,382;0,385;0;0,65;0;0,736
12.08.2019 11:00;5,841;0;25,349;0,423;0;0,81;0;0,899
12.08.2019 12:00;0,286;0;26,058;0,438;0;1,08;0;1,17
12.08.2019 13:00;0,725;0;27,2;0,473;0;1,07;0;1,165
12.08.2019 14:00;7,941;0;28,699;0,561;0;1,38;0;1,5
12.08.2019 15:00;0,256;0;29,961;0,616;0;1,8;0;1,931
12.08.2019 16:00;0,976;0;30,676;0,578;0;1,62;0;1,736
12.08.2019 17:00;0,286;0,4;30,77;0,488;0;1,46;0;1,548
12.08.2019 18:00;1,506;0;30,478;0,37;0;1,23;0;1,282
12.08.2019 19:00;10,336;1,39;29,833;0,223;0;0,94;0;0,961
12.08.2019 20:00;0,496;0;27,707;0,059;0;0,53;0;0,522
12.08.2019 21:00;0,976;0;25,447;0;0;0,23;0;0,222
12.08.2019 22:00;0,445;0;24,905;0;0;0,36;0;0,353
12.08.2019 23:00;0,301;0;24,662;0;0;0,34;0;0,331
13.08.2019 00:00;0,256;0;23,77;0;0;0,25;0;0,25
13.08.2019 01:00;0,256;0;22,63;0;0;0,14;0;0,146
13.08.2019 02:00;0,256;0;21,585;0;0;0,04;0;0,051
13.08.2019 03:00;0,256;0;20,81;0;0,03;0;0,019;0
13.08.2019 04:00;0,256;0;20,4;0;0,07;0;0,056;0
13.08.2019 05:00;0,256;0;19,79;0;0,13;0;0,112;0
13.08.2019 06:00;0,28;0;19,482;0;0,16;0;0,14;0
13.08.2019 07:00;1,276;0,2;19,766;0;0,12;0;0,102;0
13.08.2019 08:00;4,326;1,39;21,386;0,108;0;0,16;0;0,191
13.08.2019 09:00;0,451;0;23,23;0,261;0;0,36;0;0,412
13.08.2019 10:00;0,781;0,5;24,976;0,401;0;0,74;0;0,823
13.08.2019 11:00;0,301;0;26,29;0,518;0;1,07;0;1,18
13.08.2019 12:00;6,016;0;27,226;0,596;0;1,31;0;1,441
13.08.2019 13:00;0,25;0;27,844;0,637;0;1,45;0;1,595
13.08.2019 14:00;0,736;0;28,181;0,645;0;1,5;0;1,648
13.08.2019 15:00;0,451;0,1;28,357;0,62;0;1,47;0;1,608
13.08.2019 16:00;0,386;0;28,299;0,564;0;1,35;0;1,476
13.08.2019 17:00;0,276;0;28,07;0,474;0;1,17;0;1,264
13.08.2019 18:00;7,056;0,5;27,665;0,355;0;0,93;0;0,993
13.08.2019 19:00;0,846;0,1;26,95;0,207;0;0,65;0;0,674
13.08.2019 20:00;0,466;0;25,565;0,049;0;0,32;0;0,317
13.08.2019 21:00;0,396;1,39;23,737;0;0;0,07;0;0,067
13.08.2019 22:00;0,92;0;22,579;0;0;0,14;0;0,142
13.08.2019 23:00;0,286;0;22,024;0;0;0,09;0;0,091
14.08.2019 00:00;0,256;0;21,73;0;0;0,06;0;0,065
14.08.2019 01:00;0,256;0;21,537;0;0;0,04;0;0,047
14.08.2019 02:00;0,256;0;21,463;0;0;0,03;0;0,04
14.08.2019 03:00;0,256;0;21,358;0;0;0,02;0;0,031
14.08.2019 04:00;0,256;0;21,186;0;0;0,01;0;0,015
14.08.2019 05:00;0,261;0;20,904;0;0,02;0;0,011;0
14.08.2019 06:00;0,28;0,5;20,674;0;0,04;0;0,031;0
14.08.2019 07:00;0,321;0;20,548;0;0,05;0;0,032;0
14.08.2019 08:00;0,851;0;21,545;0,113;0;0,18;0;0,211
14.08.2019 09:00;6,146;0,1;23,033;0,277;0;0,54;0;0,598
14.08.2019 10:00;0,451;0;24,924;0,416;0;0,76;0;0,846
14.08.2019 11:00;2,416;;26,441;0,521;0;1,09;0;1,203
14.08.2019 12:00;4,816;0;27,355;0,594;0;1,32;0;1,45
14.08.2019 13:00;0,72;0;28,029;0,634;0;1,46;0;1,61
14.08.2019 14:00;0,291;0;28,489;0,644;0;1,53;0;1,679
14.08.2019 15:00;1,996;0,1;28,725;0,621;0;1,51;0;1,648
14.08.2019 16:00;0,401;0;28,792;0,565;0;1,41;0;1,529
14.08.2019 17:00;0,471;0,2;28,739;0,478;0;1,24;0;1,338
14.08.2019 18:00;0,816;0;28,553;0,36;0;1,03;0;1,088
14.08.2019 19:00;3,941;0;28,128;0,215;0;0,77;0;0,794
14.08.2019 20:00;3,426;1,39;26,957;0,055;0;0,45;0;0,449
14.08.2019 21:00;0,886;1,39;24,905;0;0;0,18;0;0,173
14.08.2019 22:00;0,32;0;23,81;0;0;0,26;0;0,254
14.08.2019 23:00;0,316;0;23,036;0;0;0,18;0;0,183
15.08.2019 00:00;0,256;0;22,457;0;0;0,13;0;0,131
15.08.2019 01:00;0,256;0;21,924;0;0;0,08;0;0,082
15.08.2019 02:00;0,256;0;21,436;0;0;0,03;0;0,038
15.08.2019 03:00;0,256;0;21,1;0;0;0;0;0,007
15.08.2019 04:00;0,256;0;20,908;0;0,02;0;0,01;0
15.08.2019 05:00;0,256;0;20,801;0;0,03;0;0,02;0
15.08.2019 06:00;0,26;0;20,738;0;0,04;0;0,026;0
15.08.2019 07:00;4,306;0;20,848;0;0,02;0;0,004;0
15.08.2019 08:00;3,016;0,2;22,416;0,129;0;0,28;0;0,306
15.08.2019 09:00;1,201;1,39;24,543;0,287;0;0,52;0;0,575
15.08.2019 10:00;0,256;0;27,085;0,419;0;0,98;0;1,058
15.08.2019 11:00;5,361;0;28,521;0,522;0;1,3;0;1,407
15.08.2019 12:00;1,246;0;29,161;0,593;0;1,5;0;1,629
15.08.2019 13:00;0,245;0;29,668;0,633;0;1,63;0;1,771
15.08.2019 14:00;7,941;0;29,962;0,636;0;1,85;0;1,989
15.08.2019 15:00;0,256;0;30,068;0,612;0;1,63;0;1,763
15.08.2019 16:00;1,456;0,3;29,997;0,556;0;1,52;0;1,629
15.08.2019 17:00;0,286;0;29,838;0,47;0;1,34;0;1,429
15.08.2019 18:00;1,506;0;29,481;0,352;0;1,11;0;1,162
15.08.2019 19:00;9,936;0;28,844;0,206;0;0,83;0;0,848
15.08.2019 20:00;0,336;1,39;27,39;0,049;0;0,49;0;0,481
15.08.2019 21:00;0,376;0,1;25,272;0;0;0,22;0;0,207
15.08.2019 22:00;0,485;0;24,3;0;0;0,3;0;0,298
15.08.2019 23:00;0,421;0;23,634;0;0;0,24;0;0,238
16.08.2019 00:00;0,256;0;23,319;0;0;0,21;0;0,209
16.08.2019 01:00;0,256;0;23,193;0;0;0,2;0;0,198
16.08.2019 02:00;0,256;0;23,118;0;0;0,19;0;0,191
16.08.2019 03:00;0,256;0;23,025;0;0;0,18;0;0,182
16.08.2019 04:00;0,256;0;22,965;0;0;0,18;0;0,177
16.08.2019 05:00;0,256;0;22,771;0;0;0,16;0;0,159
16.08.2019 06:00;0,31;0;22,485;0;0;0,13;0;0,133
16.08.2019 07:00;0,396;0,2;22,278;0;0;0,12;0;0,124
16.08.2019 08:00;4,296;1,39;23,359;0,119;0;0,36;0;0,383
16.08.2019 09:00;0,451;1,39;25,069;0,277;0;0,56;0;0,61
16.08.2019 10:00;0,781;0;26,867;0,411;0;0,94;0;1,025
16.08.2019 11:00;0,781;0;28,403;0,514;0;1,28;0;1,382
16.08.2019 12:00;5,536;0;29,261;0,586;0;1,68;0;1,805
16.08.2019 13:00;0,73;0,5;29,682;0,627;0;1,62;0;1,761
16.08.2019 14:00;0,256;0;29,989;0,636;0;1,67;0;1,812
16.08.2019 15:00;0,451;0;30,211;0,612;0;1,83;0;1,959
16.08.2019 16:00;0,386;0;30,211;0,557;0;1,54;0;1,653
16.08.2019 17:00;0,276;0;30,095;0,47;0;1,37;0;1,454
16.08.2019 18:00;7,536;0;29,726;0,352;0;1,13;0;1,186
16.08.2019 19:00;0,736;0;29,057;0,207;0;0,85;0;0,868
16.08.2019 20:00;0,406;0,3;27,617;0,049;0;0,51;0;0,501
16.08.2019 21:00;1,036;0;25,472;0;0;0,24;0;0,225
16.08.2019 22:00;0,34;0;24,568;0;0;0,33;0;0,323
16.08.2019 23:00;0,256;0;23,994;0;0;0,28;0;0,27
17.08.2019 00:00;0,256;0;23,679;0;0;0,24;0;0,242
17.08.2019 01:00;0,256;0;23,5;0;0;0,23;0;0,225
17.08.2019 02:00;0,256;0;23,316;0;0;0,21;0;0,209
17.08.2019 03:00;0,256;0;23,126;0;0;0,19;0;0,191
17.08.2019 04:00;0,256;0;23,012;0;0;0,18;0;0,181
17.08.2019 05:00;0,261;0;22,878;0;0;0,17;0;0,169
17.08.2019 06:00;0,28;0;22,686;0;0;0,15;0;0,151
17.08.2019 07:00;1,161;0;22,586;0;0;0,15;0;0,152
17.08.2019 08:00;1,391;0,2;23,796;0,12;0;0,4;0;0,423
17.08.2019 09:00;4,706;0;25,84;0,277;0;0,81;0;0,863
17.08.2019 10:00;0,931;1,39;28,499;0,409;0;1,1;0;1,177
17.08.2019 11:00;2,416;0;30,044;0,512;0;1,44;0;1,538
17.08.2019 12:00;5,296;0;30,487;0,585;0;1,62;0;1,744
17.08.2019 13:00;0,24;0;30,862;0,625;0;1,74;0;1,876
17.08.2019 14:00;0,771;0;31,089;0,63;0;1,78;0;1,911
17.08.2019 15:00;1,516;0;31,003;0,608;0;1,9;0;2,029
17.08.2019 16:00;0,401;0;30,756;0,554;0;1,59;0;1,701
17.08.2019 17:00;0,471;0,4;30,555;0,468;0;1,41;0;1,497
17.08.2019 18:00;0,336;0;30,227;0,351;0;1,18;0;1,233
17.08.2019 19:00;4,421;1,39;29,606;0,206;0;0,9;0;0,918
17.08.2019 20:00;3,586;0;28,057;0,048;0;0,55;0;0,54
17.08.2019 21:00;0,446;0;26,165;0;0;0,3;0;0,288
17.08.2019 22:00;0,93;0;25,745;0;0;0,44;0;0,43
17.08.2019 23:00;0,316;0;25,555;0;0;0,42;0;0,412
18.08.2019 00:00;0,256;0;25,467;0;0;0,42;0;0,404
18.08.2019 01:00;0,256;0;25,425;0;0;0,41;0;0,4
18.08.2019 02:00;0,256;0;25,303;0;0;0,4;0;0,389
18.08.2019 03:00;0,256;0;25,273;0;0;0,4;0;0,387
18.08.2019 04:00;0,256;0;25,207;0;0;0,39;0;0,381
18.08.2019 05:00;0,256;0;24,973;0;0;0,37;0;0,359
18.08.2019 06:00;0,26;0;24,57;0;0;0,33;0;0,323
18.08.2019 07:00;2,886;0,2;24,317;0;0;0,31;0;0,308
18.08.2019 08:00;3,506;1,39;25,2;0,113;0;0,53;0;0,544
18.08.2019 09:00;1,761;0;26,798;0,27;0;0,72;0;0,763
18.08.2019 10:00;0,256;0,5;28,805;0,403;0;1,13;0;1,198
18.08.2019 11:00;5,361;0;29,992;0,508;0;1,43;0;1,526
18.08.2019 12:00;0,286;0;30,958;0,58;0;1,66;0;1,781
18.08.2019 13:00;0,725;0;31,749;0,619;0;1,82;0;1,952
18.08.2019 14:00;7,941;0;32,339;0,627;0;1,9;0;2,029
18.08.2019 15:00;0,736;0,1;32,709;0,604;0;1,89;0;2,01
18.08.2019 16:00;0,976;0;32,844;0,549;0;1,97;0;2,075
18.08.2019 17:00;0,286;0;32,773;0,462;0;1,63;0;1,699
18.08.2019 18:00;1,506;0,5;32,425;0,345;0;1,39;0;1,43
18.08.2019 19:00;9,966;0,1;31,74;0,2;0;1,1;0;1,108
18.08.2019 20:00;0,396;0;30,033;0,045;0;0,74;0;0,716
18.08.2019 21:00;0,776;1,39;27,99;0;0;0,48;0;0,454
18.08.2019 22:00;0,445;0;26,987;0;0;0,56;0;0,542
18.08.2019 23:00;0,331;0;26,101;0;0;0,48;0;0,462
19.08.2019 00:00;0,256;0;25,343;0;0;0,4;0;0,393
19.08.2019 01:00;0,256;0;24,585;0;0;0,33;0;0,324
19.08.2019 02:00;0,256;0;23,925;0;0;0,27;0;0,264
19.08.2019 03:00;0,256;0;23,398;0;0;0,22;0;0,216
19.08.2019 04:00;0,256;0;22,981;0;0;0,18;0;0,178
19.08.2019 05:00;0,256;0;22,605;0;0;0,14;0;0,144
19.08.2019 06:00;0,28;0,5;22,261;0;0;0,11;0;0,113
19.08.2019 07:00;1,796;0;22,052;0;0;0,1;0;0,102
19.08.2019 08:00;3,326;0;23,618;0,121;0;0,39;0;0,407
19.08.2019 09:00;1,361;0,1;25,698;0,279;0;0,63;0;0,676
19.08.2019 10:00;0,301;0;28,224;0,413;0;1,09;0;1,162
19.08.2019 11:00;0,301;;30,04;0,515;0;1,45;0;1,549
19.08.2019 12:00;6,496;0;31,295;0,586;0;1,71;0;1,831
19.08.2019 13:00;0,25;0;32,183;0,625;0;1,88;0;2,011
19.08.2019 14:00;0,256;0;32,742;0,633;0;1,95;0;2,085
19.08.2019 15:00;0,451;0,1;32,969;0,608;0;1,93;0;2,048
19.08.2019 16:00;0,866;0;32,9;0,552;0;1,81;0;1,91
19.08.2019 17:00;0,276;0,2;32,698;0,462;0;1,62;0;1,694
19.08.2019 18:00;7,536;0;32,277;0,343;0;1,37;0;1,415
19.08.2019 19:00;0,336;0;31,506;0,198;0;1,08;0;1,084
19.08.2019 20:00;0,366;1,39;29,733;0,043;0;0,71;0;0,686
19.08.2019 21:00;0,556;1,39;27,568;0;0;0,44;0;0,415
19.08.2019 22:00;0,35;0;26,497;0;0;0,51;0;0,498
19.08.2019 23:00;0,256;0;25,501;0;0;0,42;0;0,407
20.08.2019 00:00;0,256;0;24,607;0;0;0,33;0;0,326
20.08.2019 01:00;0,256;0;23,857;0;0;0,26;0;0,258
20.08.2019 02:00;0,256;0;23,246;0;0;0,2;0;0,202
20.08.2019 03:00;0,256;0;22,775;0;0;0,16;0;0,16
20.08.2019 04:00;0,256;0;22,391;0;0;0,12;0;0,125
20.08.2019 05:00;0,261;0;22,017;0;0;0,09;0;0,091
20.08.2019 06:00;0,28;0;21,563;0;0;0,04;0;0,049
20.08.2019 07:00;0,341;0;21,162;0;0;0,01;0;0,02
20.08.2019 08:00;1,361;0,2;22,267;0,114;0;0,25;0;0,276
20.08.2019 09:00;4,676;1,39;23,968;0,273;0;0,63;0;0,686
20.08.2019 10:00;0,931;0;26,252;0,403;0;0,88;0;0,96
20.08.2019 11:00;2,896;0;27,658;0,508;0;1,38;0;1,487
20.08.2019 12:00;4,816;0;28,352;0,579;0;1,4;0;1,53
20.08.2019 13:00;0,72;0;28,961;0,618;0;1,54;0;1,679
20.08.2019 14:00;0,291;0;29,426;0,627;0;1,61;0;1,746
20.08.2019 15:00;1,516;0;29,682;0,604;0;1,59;0;1,719
20.08.2019 16:00;0,401;0,3;29,679;0,548;0;1,66;0;1,771
20.08.2019 17:00;0,471;0;29,495;0,458;0;1,48;0;1,562
20.08.2019 18:00;0,816;0;29,007;0,339;0;1,05;0;1,103
20.08.2019 19:00;4,341;0;28,148;0,193;0;0,75;0;0,768
20.08.2019 20:00;3,466;1,39;26,529;0,039;0;0,4;0;0,39
20.08.2019 21:00;0,846;0,1;24,528;0;0;0,15;0;0,139
20.08.2019 22:00;0,41;0;23,362;0;0;0,21;0;0,213
20.08.2019 23:00;0,436;0;22,549;0;0;0,14;0;0,139
21.08.2019 00:00;0,256;0;22,021;0;0;0,09;0;0,091
21.08.2019 01:00;0,256;0;21,865;0;0;0,07;0;0,077
21.08.2019 02:00;0,256;0;21,83;0;0;0,07;0;0,074
21.08.2019 03:00;0,256;0;21,881;0;0;0,07;0;0,078
21.08.2019 04:00;0,256;0;22,018;0;0;0,09;0;0,091
21.08.2019 05:00;0,256;0;22,133;0;0;0,1;0;0,101
21.08.2019 06:00;0,29;0;22,202;0;0;0,1;0;0,107
21.08.2019 07:00;3,726;0,2;22,172;0;0;0,11;0;0,11
21.08.2019 08:00;3,956;1,39;22,93;0,088;0;0,29;0;0,311
21.08.2019 09:00;0,321;1,39;24,071;0,244;0;0,42;0;0,474
21.08.2019 10:00;0,736;0;25,337;0,39;0;0,95;0;1,032
21.08.2019 11:00;5,361;0;26,421;0,494;0;1,05;0;1,162
21.08.2019 12:00;0,766;0;27,162;0,571;0;1,27;0;1,398
21.08.2019 13:00;0,245;0,5;27,593;0,613;0;1,57;0;1,715
21.08.2019 14:00;8,421;0;27,783;0,621;0;1,43;0;1,572
21.08.2019 15:00;0,256;0;27,777;0,598;0;1,38;0;1,519
21.08.2019 16:00;0,976;0;27,615;0,542;0;1,26;0;1,379
21.08.2019 17:00;0,286;0;27,345;0,452;0;1,07;0;1,166
21.08.2019 18:00;1,026;0;26,919;0,33;0;0,83;0;0,893
21.08.2019 19:00;10,416;0;26,223;0,18;0;0,55;0;0,572
21.08.2019 20:00;0,376;0,3;25,237;0,03;0;0,26;0;0,262
21.08.2019 21:00;0,456;0;24,034;0;0;0,1;0;0,094
21.08.2019 22:00;0,905;0;23,072;0;0;0,19;0;0,187
21.08.2019 23:00;0,301;0;22,526;0;0;0,13;0;0,137
22.08.2019 00:00;0,256;0;22,242;0;0;0,11;0;0,111
22.08.2019 01:00;0,256;0;22,097;0;0;0,09;0;0,098
22.08.2019 02:00;0,256;0;22,023;0;0;0,09;0;0,091
22.08.2019 03:00;0,256;0;21,948;0;0;0,08;0;0,084
22.08.2019 04:00;0,256;0;21,826;0;0;0,07;0;0,073
22.08.2019 05:00;0,256;0;21,676;0;0;0,05;0;0,06
22.08.2019 06:00;0,28;0;21,518;0;0;0,04;0;0,045
22.08.2019 07:00;0,316;0;21,417;0;0;0,03;0;0,04
22.08.2019 08:00;3,906;0,2;21,999;0,08;0;0,19;0;0,216
22.08.2019 09:00;1,921;0;23,309;0,245;0;0,53;0;0,586
22.08.2019 10:00;0,301;1,39;24,841;0,387;0;0,72;0;0,801
22.08.2019 11:00;0,301;0;26,096;0,495;0;1,2;0;1,315
22.08.2019 12:00;5,536;0;26,941;0,57;0;1,25;0;1,377
22.08.2019 13:00;0,73;0;27,459;0,612;0;1,38;0;1,522
22.08.2019 14:00;0,256;0;27,61;0,617;0;1,4;0;1,549
22.08.2019 15:00;0,931;0;27,534;0,594;0;1,35;0;1,489
22.08.2019 16:00;0,386;0;27,324;0,541;0;1,23;0;1,351
22.08.2019 17:00;0,276;0,4;26,923;0,453;0;1,03;0;1,129
22.08.2019 18:00;7,536;0;26,29;0,331;0;0,77;0;0,837
22.08.2019 19:00;0,336;1,39;25,334;0,184;0;0,47;0;0,497
22.08.2019 20:00;0,486;0;24,022;0,033;0;0,15;0;0,154
22.08.2019 21:00;0,956;0;22,767;0;0,02;0;0,021;0
22.08.2019 22:00;0,4;0;22,075;0;0;0,09;0;0,096
22.08.2019 23:00;0,256;0;21,866;0;0;0,07;0;0,077
23.08.2019 00:00;0,256;0;21,79;0;0;0,06;0;0,07
23.08.2019 01:00;0,256;0;21,674;0;0;0,05;0;0,059
23.08.2019 02:00;0,256;0;21,534;0;0;0,04;0;0,047
23.08.2019 03:00;0,256;0;21,4;0;0;0,03;0;0,035
23.08.2019 04:00;0,256;0;21,237;0;0;0,01;0;0,02
23.08.2019 05:00;0,261;0;20,887;0;0,02;0;0,012;0
23.08.2019 06:00;0,28;0;20,533;0;0,06;0;0,044;0
23.08.2019 07:00;1,921;0,2;20,309;0;0,07;0;0,06;0
23.08.2019 08:00;0,331;1,39;21,641;0,097;0;0,17;0;0,201
23.08.2019 09:00;5,556;0;23,359;0,256;0;0,37;0;0,428
23.08.2019 10:00;0,451;0,5;25,021;0,393;0;0,75;0;0,833
23.08.2019 11:00;2,416;0;26,211;0,501;0;1,05;0;1,162
23.08.2019 12:00;5,776;0;27,041;0,576;0;1,45;0;1,583
23.08.2019 13:00;0,24;0;27,636;0,617;0;1,41;0;1,554
23.08.2019 14:00;0,291;0;27,997;0,626;0;1,47;0;1,612
23.08.2019 15:00;1,516;0,1;28,145;0,602;0;1,43;0;1,57
23.08.2019 16:00;0,881;0;28,081;0,544;0;1,5;0;1,615
23.08.2019 17:00;0,471;0;27,723;0,454;0;1,12;0;1,212
23.08.2019 18:00;0,816;0,5;27,001;0,333;0;0,85;0;0,909
23.08.2019 19:00;3,971;0,1;25,898;0,185;0;0,52;0;0,551
23.08.2019 20:00;3,486;0;24,348;0,033;0;0,18;0;0,183
23.08.2019 21:00;0,366;1,39;22,797;0;0,02;0;0,018;0
23.08.2019 22:00;0,45;0;21,901;0;0;0,07;0;0,08
23.08.2019 23:00;0,346;0;21,387;0;0;0,03;0;0,033
24.08.2019 00:00;0,256;0;21,091;0;0;0;0;0,006
24.08.2019 01:00;0,256;0;20,87;0;0,02;0;0,014;0
24.08.2019 02:00;0,256;0;20,718;0;0,04;0;0,027;0
24.08.2019 03:00;0,256;0;20,6;0;0,05;0;0,038;0
24.08.2019 04:00;0,256;0;20,504;0;0,06;0;0,047;0
24.08.2019 05:00;0,256;0;20,388;0;0,07;0;0,057;0
24.08.2019 06:00;0,26;0,5;20,256;0;0,08;0;0,069;0
24.08.2019 07:00;2,726;0;20,169;0;0,09;0;0,073;0
24.08.2019 08:00;3,986;0;21,455;0,095;0;0,15;0;0,182
24.08.2019 09:00;0,351;0,1;23,187;0,256;0;0,36;0;0,413
24.08.2019 10:00;0,736;0;25,071;0,394;0;0,93;0;1,02
24.08.2019 11:00;5,841;;26,529;0,501;0;1,08;0;1,195
24.08.2019 12:00;0,286;0;27,319;0,576;0;1,48;0;1,615
24.08.2019 13:00;0,725;0;27,821;0,618;0;1,43;0;1,58
24.08.2019 14:00;7,941;0;28,069;0,626;0;1,48;0;1,623
24.08.2019 15:00;0,256;0,1;28,061;0,602;0;1,43;0;1,566
24.08.2019 16:00;0,976;0;27,85;0,545;0;1,48;0;1,598
24.08.2019 17:00;0,286;0,2;27,589;0,456;0;1,11;0;1,204
24.08.2019 18:00;1,506;0;27,073;0,334;0;0,86;0;0,918
24.08.2019 19:00;10,336;0;26,168;0,185;0;0,55;0;0,576
24.08.2019 20:00;0,376;1,39;24,705;0,031;0;0,21;0;0,214
24.08.2019 21:00;0,976;1,39;23,116;0;0;0,01;0;0,011
24.08.2019 22:00;0,355;0;22,167;0;0;0,1;0;0,104
24.08.2019 23:00;0,301;0;21,68;0;0;0,05;0;0,06
25.08.2019 00:00;0,256;0;21,432;0;0;0,03;0;0,037
25.08.2019 01:00;0,256;0;21,242;0;0;0,01;0;0,02
25.08.2019 02:00;0,256;0;21,072;0;0;0;0;0,005
25.08.2019 03:00;0,256;0;20,928;0;0,02;0;0,008;0
25.08.2019 04:00;0,256;0;20,794;0;0,03;0;0,021;0
25.08.2019 05:00;0,256;0;20,618;0;0,05;0;0,037;0
25.08.2019 06:00;0,28;0;20,452;0;0,06;0;0,052;0
25.08.2019 07:00;1,216;0;20,389;0;0,07;0;0,054;0
25.08.2019 08:00;4,356;0,2;21,45;0,084;0;0,14;0;0,17
25.08.2019 09:00;0,451;1,39;22,921;0,245;0;0,5;0;0,553
25.08.2019 10:00;0,781;0;24,485;0,382;0;0,68;0;0,765
25.08.2019 11:00;0,301;0;25,754;0,489;0;1,17;0;1,277
25.08.2019 12:00;6,016;0;26,651;0,564;0;1,39;0;1,522
25.08.2019 13:00;0,25;0;27,231;0,605;0;1,35;0;1,491
25.08.2019 14:00;0,736;0;27,458;0,616;0;1,57;0;1,72
25.08.2019 15:00;0,451;0;27,377;0,593;0;1,52;0;1,659
25.08.2019 16:00;0,386;0,3;27,094;0,537;0;1,21;0;1,327
25.08.2019 17:00;0,276;0;26,583;0,445;0;1,17;0;1,267
